fetch_date,today_date,site_updated,kind,model_id,model,dai,box_d2,box_d1,box_d0,hit_d2,hit_d1,hit_d0,prob_d2,prob_d1,prob_d0
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3694,eﾌｨｰﾊﾞｰもののがたりF,0386,-0.8,-1.6,0.0,0,0,0,1/66,1/163,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3606,eﾌｨｰﾊﾞｰ彼女、お借りしますH,0405,9.5,-8.7,-3.1,12,3,0,1/121,1/388,1/336
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3804,eﾌｨｰﾊﾞｰ機動戦士ｶﾞﾝﾀﾞﾑSEED2bF,0226,-5.4,-5.7,-0.5,4,7,0,1/382,1/343,1/56
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3804,eﾌｨｰﾊﾞｰ機動戦士ｶﾞﾝﾀﾞﾑSEED2bF,0227,-10.8,6.0,0.0,5,18,0,1/257,1/106,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3804,eﾌｨｰﾊﾞｰ機動戦士ｶﾞﾝﾀﾞﾑSEED2bF,0228,3.3,1.9,-0.2,16,16,0,1/428,1/167,1/10
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3639,eﾌｨｰﾊﾞｰ炎炎ﾉ消防隊2MS,0222,-0.6,12.8,0.0,0,20,0,1/65,1/108,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3639,eﾌｨｰﾊﾞｰ炎炎ﾉ消防隊2MS,0223,-1.3,-0.8,0.0,0,6,0,1/120,1/274,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3639,eﾌｨｰﾊﾞｰ炎炎ﾉ消防隊2MS,0224,-0.1,-1.0,0.0,6,1,0,1/251,1/181,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3639,eﾌｨｰﾊﾞｰ炎炎ﾉ消防隊2MS,0225,0.0,-3.6,0.0,0,1,0,,1/435,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3760,eﾌｨｰﾊﾞｰﾀﾞﾝﾍﾞﾙ何ｷﾛ持てる?2F,0387,-0.1,-9.8,0.0,0,10,0,1/7,1/109,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3760,eﾌｨｰﾊﾞｰﾀﾞﾝﾍﾞﾙ何ｷﾛ持てる?2F,0388,0.7,-5.3,0.0,3,1,0,1/218,1/524,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3730,eﾌｨｰﾊﾞｰﾊﾞｽﾀｰﾄﾞG,0403,0.0,-6.6,0.0,0,1,0,,1/683,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3670,eﾌｨｰﾊﾞｰﾌﾞﾙｰﾛｯｸMZ,0375,-1.3,-0.4,0.0,0,0,0,1/104,1/41,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3670,eﾌｨｰﾊﾞｰﾌﾞﾙｰﾛｯｸMZ,0376,-0.6,0.0,0.0,1,0,0,1/125,,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3795,eﾌｨｰﾊﾞｰﾌﾞﾙｰﾛｯｸY,0399,0.6,2.6,0.0,4,12,0,1/29,1/55,
2026-09-10,2026-09-10,9/10 11:01,パチンコ,3795,eﾌｨｰﾊﾞｰﾌﾞﾙｰﾛｯｸY,0400,-1.7,-1.7,0.0,0,0,0,1/178,1/166,
